African	Africans
foggy	foggiest,foggier
fold	folds,folding,folded
folk	folks
follow	following,follows,followed
following	followings
fond	fondly,fondest,fonder
food	foods
fool	fooled,fools,fooling
foolish	foolishly
foot	feet,foots,footing,footed
football	footballs
forbid	forbade,forbidden,forbad,forbidding,forbids
force	forced,forcing,forces
forecast	forecasting,forecasts,forecasted
forehead	foreheads
foreigner	foreigners
foresee	foresees,foreseeing,foresaw,foreseen
forest	forests
forget	forgetting,forgotten,forgot,forgets
forgetful	forgetfully
forgive	forgiven,forgives,forgiving,forgave
forgot	forgetting,forgotten,forget,forgets
fork	forked,forks,forking
form	forms,forming,formed,from
format	formats
former	formerly
fortnight	fortnights
fortunate	fortunately
fortune	fortunes
forward	forwarding,forwarded,forwards
fossil	fossils
found	founded,founding,founds
founding	founded,found,founds
fountain	fountains
fox	foxed,foxes,foxing
franc	francs
free	freeing,frees,freely,freest,freer,freed
freedom	freedoms
freeway	freeways
freeze	frozen,freezes,freezing,froze
freezing	frozen,freezes,froze,freeze
frequent	frequents,frequently,frequented,frequenting
fresh	freshest,fresher,freshly
friction	frictions
fridge	fridges
fried	frying,fry,fries
friend	friends
friendly	friendliest,friendlier
friendship	friendships
fright	frighting,frighted,frights
frighten	frightening,frightened,frightens
frightened	frightening,frighten,frightens
frog	frogs
front	fronts,fronting,fronted
frontier	frontiers
frost	frosting,frosted,frosts
fruit	fruiting,fruited,fruits
frustrate	frustrating,frustrates,frustrated
frustrated	frustrating,frustrates,frustrate
fry	frying,fried,fries
fuel	fuelling,fuels,fuelled
full	fullest,fuller
function	functioned,functions,functioning
fundamental	fundamentals,fundamentally
funeral	funerals
funny	funniest,funnily,funnier
fur	furs
furnished	furnishes,furnishing,furnish
future	futures
gain	gained,gaining,gains
gale	gales
gallery	galleries
gallon	gallons
game	gaming,gamed,games,gamely
garage	garaging,garaged,garages
garden	gardened,gardening,gardens
gardening	gardened,garden,gardens
garment	garments
gas	gasses,gassing,gases,gassed
gate	gating,gated,gates
gatekeeper	gatekeepers
gather	gathered,gathers,gathering
gay	gays,gayer,gaily,gayest
general	generals,generally
generation	generations
generosity	generosities
generous	generously
gentle	gentler,gently,gentlest
gentleman	gentlemen
gesture	gestures,gesturing,gestured
get	gotten,got,gets,getting
gift	gifts,gifting,gifted
gifted	gifts,gifting,gift
giraffe	giraffes
girl	girls
give	giving,gives,given,gave
glad	gladly,gladdest,gladder
glance	glances,glancing,glanced
glare	glared,glaring,glares
glass	glassed,glasses
glasshouse	glasshouses
globe	globes
glory	glories,glorying,gloried
glove	gloves
glue	glued,glues,gluing
go	gone,went,going,goes
goal	goals
goat	goats
god	gods
goes	go,gone,went,going
golf	golfed,golfs,golfing
good	better,well,best,goods
goodbye	goodbyes
goose	geese
govern	governed,governing,governs
government	governments
gown	gowned,gowning,gowns
grab	grabbing,grabbed,grabs
grade	grades,graded,grading
gradually	gradual
graduate	graduating,graduated,graduates
graduation	graduations
grain	grains
gram	grams
grammar	grammars
grand	grandly,grandest,grander
grandchild	grandchildren
granddaughter	granddaughters
grandfather	grandfathers
grandma	grandmas
grandmother	grandmothers
grandpa	grandpas
grandparents	grandparent
grandson	grandsons
granny	grannies
grape	grapes
graph	graphs
grasp	grasps,grasping,grasped
grass	grasses,grassing,grassed
grateful	gratefully
great	greats,greatest,greatly,greater
greedy	greediest,greedily,greedier
green	greenest,greens,greener
greengrocer	greengrocers
greet	greets,greeting,greeted
greeting	greetings
grey	greyest,greyer,greys,greying,greyed,greyly
grill	grilled,grills,grilling
grocer	grocers
grocery	groceries
ground	grounds,grounding,grounded
group	grouped,groups,grouping
grow	grown,growing,grew,grows
growth	growths
guarantee	guarantees,guaranteed,guaranteeing
guard	guards,guarding,guarded
guess	guessing,guessed,guesses
guest	guests
guide	guided,guiding,guides
guilty	guiltiest,guiltier,guiltily
guitar	guitars
gun	gunned,gunning,guns
gym	gyms
gymnasium	gymnasiums
habit	habits
hair	hairs
haircut	haircuts
half	halves
hall	halls
ham	hammed,hamming,hams
hamburger	hamburgers
hammer	hammers,hammered,hammering
hand	handing,handed,hands
handbag	handbags
handful	handfuls
handkerchief	handkerchiefs
handle	handles,handling,handled
handsome	handsomely,handsomest
handy	handiest,handier,handily
hang	hung,hanged,hangs,hanging
happen	happens,happening,happened
happily	happiest,happier,happy
happy	happily,happiest,happier
harbour	harbours,harbouring,harboured
hard	hardly,hardest,harder
hardly	hardest,hard,harder
hardship	hardships
harm	harms,harming,harmed
harmful	harmfully
harmless	harmlessly
harmony	harmonies
harvest	harvested,harvests,harvesting
has	had,having,have
hat	hats
hatch	hatched,hatches,hatching
hate	hated,hates,hating
have	has,had,having
hawk	hawks,hawked,hawking
head	heads,heading,headed
headache	headaches
headline	headlines
headmaster	headmasters
headmistress	headmistresses
headteacher	headteachers
heal	heals,healing,healed
healthily	healthy,healthier,healthiest
healthy	healthily,healthier,healthiest
heap	heaps,heaping,heaped
hear	heard,hears,hearing
hearing	hearings
heart	hearts
heat	heats,heating,heated
heaven	heavens
heavily	heavy,heavier,heaviest
heavy	heavier,heaviest,heavily
heel	heels,heeling,heeled
height	heights
helicopter	helicopters
helmet	helmets
help	helped,helping,helps
helpful	helpfully
hen	hens
herb	herbs
hero	heroes
heroine	heroines
hibernate	hibernated,hibernating,hibernates
hide	hid,hidden,hides,hiding
high	highest,higher,highly
highway	highways
hike	hikes,hiked,hiking
hiking	hikes,hiked,hike
hill	hills
hillside	hillsides
hilly	hilliest,hillier
hire	hiring,hired,hires
history	histories
hit	hitting,hits
hive	hives,hiving,hived
hobby	hobbies
hold	held,holds,holding
hole	holing,holed,holes
holiday	holidaying,holidayed,holidays
holy	holies,holiest,holier
home	homing,homed,homes
homeland	homelands
honest	honestly
honey	honeys
honour	honouring,honours,honoured
hook	hooked,hooking,hooks
hope	hopes,hoping
hopeful	hopefully
hopeless	hopelessly
horrible	horribly
horse	horses
hospital	hospitals
host	hosts,hosting,hosted
hostess	hostesses
hot	hotly,hotter,hotting,hotted,hots,hottest
hotel	hotels
hour	hours
house	houses,housing,housed
housewife	housewives
howl	howls,howling,howled
hug	hugged,hugging,hugs
huge	hugely
human	humanly,humans
humorous	humorously
humour	humouring,humoured,humours
hunger	hungers,hungering,hungered
hungry	hungriest,hungrier,hungrily
hunt	hunted,hunting,hunts
hunter	hunters
hurricane	hurricanes
hurry	hurries,hurrying,hurried
hurt	hurting,hurts
husband	husbands,husbanding,husbanded
ice	ices,icing,iced
iceberg	icebergs
icon	icons
idea	ideas
identity	identities
idiom	idioms
ill	ills
illegal	illegally
illness	illnesses
imagine	imagining,imagines,imagined
immediate	immediately
immediately	immediate
immigration	immigrations
import	importing,imported,imports
important	importantly
impossible	impossibly
impress	impressed,impresses,impressing
impression	impressions
improve	improving,improves,improved
inch	inched,inching,inches
incident	incidents
include	included,including,includes
income	incomes
incorrect	incorrectly
increase	increases,increasing,increased
independent	independently,independents
industry	industries
influence	influenced,influencing,influences
inform	informing,informed,informs
initial	initially,initialled,initialling,initials
injection	injections
injure	injured,injuring,injures
injury	injuries
ink	inked,inks,inking
inn	inns
innocent	innocents,innocently
insect	insects
insert	inserting,inserts,inserted
inside	insides
insist	insisting,insisted,insists
inspect	inspecting,inspected,inspects
inspector	inspectors
inspire	inspired,inspiring,inspires
instant	instants,instantly
institute	institutes,instituted,instituting
institution	institutions
instruct	instructs,instructing,instructed
instruction	instructions
instrument	instruments
insurance	insurances
insure	insured,insures,insuring
intend	intends,intended,intending
intention	intentions
interest	interests,interesting,interested
interested	interests,interesting,interest
interesting	interestingly
international	internationally,internationals
interpreter	interpreters
interrupt	interrupts,interrupting,interrupted
interval	intervals
interview	interviews,interviewing,interviewed
introduce	introducing,introduced,introduces
introduction	introductions
invent	inventing,invented,invents
invention	inventions
inventor	inventors
invitation	invitations
invite	invited,inviting,invites
iron	irons,ironing,ironed
irrigate	irrigating,irrigated,irrigates
island	islands
jacket	jackets
jam	jamming,jammed,jams
jar	jars,jarred,jarring
jaw	jawed,jawing,jaws
jazz	jazzed,jazzes,jazzing
jeans	jean
jeep	jeeps
jet	jets,jetting,jetted
jewel	jewelling,jewelled,jewels
job	jobbed,jobbing,jobs
jog	jogging,jogs,jogged
join	joined,joins,joining
joke	jokes,joking,joked
journalist	journalists
journey	journeying,journeyed,journeys
joy	joyed,joys,joying
judge	judges,judged,judging
judgement	judgements
juice	juices
juicy	juiciest,juicier
jump	jumped,jumps,jumping
jumper	jumpers
jungle	jungles
junior	juniors
junk	junks
just	justly
justice	justices
keep	keeping,kept,keeps
keeper	keepers
kettle	kettles
key	keys,keying,keyed
keyboard	keyboards
kick	kicks,kicking,kicked
kid	kidding,kids,kidded
kill	killed,kills,killing
kilo	kilos
kilogram	kilograms
kilometre	kilometres
kind	kindest,kinds,kindly,kinder
kindergarten	kindergartens
kindness	kindnesses
king	kings
kingdom	kingdoms
kiss	kissing,kissed,kisses
kitchen	kitchens
kite	kites
knee	knees
knife	knives,knifed,knifes,knifing
knock	knocked,knocks,knocking
know	known,knowing,knew,knows
lab	labs
laboratory	laboratories
labour	labours,labouring,laboured
labourer	labourers
lack	lacked,lacks,lacking
ladder	ladders,laddered
lady	ladies
lake	lakes
lamb	lambed,lambs,lambing
lame	laming,lamely,lamed,lamest,lamer,lames
lamp	lamps
land	lands,landed,landing
language	languages
lantern	lanterns
lap	lapped,laps,lapping
large	larger,largest,largely
laser	lasers
last	lasted,lasts,lasting
late	lately,later,latest
lately	late,later,latest
later	late,lately,latest
latest	late,lately,later
latter	latterly
laugh	laughs,laughing,laughed
laundry	laundries
lavatory	lavatories
law	laws
lawyer	lawyers
lay	lain,laid,laying,lays
lazy	laziest,lazily,lazier
lead	leads,leading,led
leader	leaders
leading	leads,led,lead
leaf	leaves,leafed,leafs,leafing
league	leagues,leaguing,leagued
leak	leaking,leaked,leaks
learn	learned,learns,learnt,learning
learned	learnedly
leather	leathers
leave	leaves,leaving,left
lecture	lectures,lectured,lecturing
left	leave,leaves,leaving
leg	legs
lemon	lemons
lend	lending,lent,lends
length	lengths
lesson	lessons
let	letting,lets
letter	letters
level	levelly,levelling,levels,levelled
liberate	liberated,liberates,liberating
liberation	liberations
liberty	liberties
librarian	librarians
library	libraries
licence	licences,licencing,licenced
license	licenses,licensing,licensed
lid	lids
lie	lies,lying,lay,lied
life	lives
lifeboat	lifeboats
lifetime	lifetimes
lift	lifts,lifted,lifting
light	lighted,lightly,lightest,lit,lights,lighting,lighter
like	liked,likely,liking,likes
likely	likelier,likeliest
limit	limited,limits,limiting
line	lining,lined,lines
link	linked,links,linking
lion	lions
lip	lips
liquid	liquids
list	listed,lists,listing
listen	listens,listening,listened
litre	litres
litter	litters,littering,littered
little	littlest,littler
live	living,lived,lives
lively	liveliest,livelier
living	livings
load	loaded,loads,loading
loaf	loaves,loafs,loafing,loafed
local	locally,locals
lock	locking,locked,locks
locust	locusts
lonely	loneliest,lonelier
long	longing,longer,longs,longed,longest
look	looking,looked,looks
loose	loosed,loosely,loosing,loosest,looser,looses
lorry	lorries
lose	losing,loses,lost
loss	losses
lost	losing,loses,lose
lot	lots
loud	loudly,louder,loudest
loudly	loud,louder,loudest
loudspeaker	loudspeakers
lounge	lounged,lounges,lounging
love	loved,loves,loving
lovely	loveliest,lovelier
low	lowest,lower,lowing,lowed,lows
luckily	luckiest,luckier,lucky
lucky	luckiest,luckier,luckily
lunch	lunched,lunching,lunches
lung	lungs
machine	machined,machining,machines
mad	maddest,madly,madder
madam	madams
magazine	magazines
magic	magically
magical	magically
maid	maids
mail	mailed,mailing,mails
mailbox	mailboxes
main	mainly
mainland	mainlands
major	majors,majoring,majored
majority	majorities
make	making,made,makes
male	males
man	manning,men,manned,mans
manage	managing,managed,manages
manager	managers
manner	manners
map	maps,mapped,mapping
maple	maples
marathon	marathons
marble	marbles
march	marched,marches,marching
mark	marking,marked,marks
market	marketing,marketed,markets
marriage	marriages
married	marrying,marry,marries
marry	marrying,married,marries
mask	masked,masks,masking
mass	masses,massed,massing
master	masters,mastered,mastering
mat	matted,matting,mats
match	matches,matching,matched
material	materially,materials
matter	mattering,mattered,matters
mature	maturing,matured,matures,maturely
maximum	maximums,maxima
meal	meals
mean	meant,means,meaner,meanly,meaning,meanest
meaning	meaningly,meanings
means	meant,meaner,meanly,meaning,meanest,mean
measure	measuring,measures,measured
meat	meats
medal	medals
media	medium,mediums
medical	medically,medicals
medicine	medicines
medium	media,mediums
meet	met,meeting,meets
meeting	meetings
melon	melons
member	members
memorial	memorials
memory	memories
men	manning,manned,mans,man
mend	mended,mends,mending
mental	mentally
mentally	mental
mention	mentioned,mentions,mentioning
menu	menus
merchant	merchants
merciful	mercifully
mercy	mercies
merely	mere,meres
merry	merrily,merriest,merrier
mess	messed,messing,messes
message	messages
messy	messiest,messier,messily
metal	metalling,metalled,metals
method	methods
metre	metres
microcomputer	microcomputers
microscope	microscopes
microwave	microwaves
middle	middles
mild	milder,mildly,mildest
mile	miles
milk	milked,milking,milks
millionaire	millionaires
mind	minded,minds,minding
mine	mining,mined,mines
mineral	minerals
minibus	minibuses
minimum	minima,minimums
minister	ministered,ministering,ministers
ministry	ministries
minority	minorities
minus	minuses
minute	minuted,minutest,minuter,minuting,minutes,minutely
mirror	mirrors,mirroring,mirrored
miss	misses,missed,missing
missile	missiles
missing	misses,miss,missed
mist	misted,mists,misting
mistake	mistaking,mistakes,mistook,mistaken
mistaken	mistakenly
misty	mistiest,mistier,mistily
misunderstand	misunderstands,misunderstanding,misunderstood
mix	mixing,mixed,mixes
mixture	mixtures
mobile	mobiles
model	models,modelling,modelled
modem	modems
modern	moderns
modest	modestly
moment	moments
monitor	monitored,monitoring,monitors
monkey	monkeyed,monkeying,monkeys
month	months
monument	monuments
moon	mooning,mooned,moons
mop	mopping,mopped,mops
moral	morally,morals
more	mores
morning	mornings
mosquito	mosquitoes
mother	mothered,mothering,mothers
motherland	motherlands
motivation	motivations
motor	motors,motoring,motored
motorbike	motorbikes
motorcycle	motorcycles
motto	mottos,mottoes
mount	mounts,mounting,mounted
mountain	mountains
mourn	mourned,mourns,mourning
mouse	moused,mice,mousing,mouses
moustache	moustaches
mouth	mouthed,mouths,mouthing
mouthful	mouthfuls
move	moved,moves,moving
movement	movements
movie	movies
moving	move,moved,moves
mud	mudding,mudded,muds
multiply	multiplied,multiplying,multiplies
mum	mums
mummy	mummies
murder	murdering,murders,murdered
museum	museums
mushroom	mushrooms,mushrooming,mushroomed
musical	musically,musicals
musician	musicians
must	musts
nail	nailed,nails,nailing
name	named,naming,names
narrow	narrowly,narrows,narrower,narrowing,narrowest,narrowed
nation	nations
national	nationals,nationally
nationality	nationalities
native	natives
natural	naturals,naturally
nature	natures
navy	navies
near	nearest,nearer,nearing,nears,nearly,neared
nearly	nearest,nearer,nearing,near,nears,neared
neat	neater,neatly,neatest
neatly	neater,neat,neatest
necessary	necessarily,necessaries
neck	necking,necked,necks
necklace	necklaces
necktie	neckties
need	needed,needs,needing
needle	needling,needles,needled
negotiate	negotiated,negotiating,negotiates
neighbour	neighbours,neighbouring,neighboured
neighbourhood	neighbourhoods
nephew	nephews
nervous	nervously
nest	nests,nesting,nested
net	nets,netted,netting
network	networks
new	newly,newest,newer
newspaper	newspapers
nice	nicely,nicest,nicer
niece	nieces
night	nights
no	nos
noble	nobler,nobly,noblest,nobles
nobody	nobodies
nod	nodded,nodding,nods
noise	noising,noised,noises
noisily	noisiest,noisier,noisy
noisy	noisily,noisiest,noisier
noodle	noodles
normal	normally
nose	nosing,nosed,noses
note	notes,noting,noted
notebook	notebooks
nothing	nothings
notice	notices,noticing,noticed
novel	novels
novelist	novelists
numb	numbs,numbly,numbed,numbing
number	numbered,numbering,numbers
nurse	nurses,nursing,nursed
nursery	nurseries
nursing	nurses,nurse,nursed
nut	nuts,nutted,nutting
nylon	nylons
obey	obeyed,obeying,obeys
object	objecting,objects,objected
observe	observed,observing,observes
obtain	obtained,obtaining,obtains
obvious	obviously
occupation	occupations
occupy	occupying,occupies,occupied
occur	occurring,occurred,occurs
ocean	oceans
offence	offences
offer	offered,offers,offering
office	offices
officer	officers
official	officials,officially
oil	oiling,oiled,oils
oilfield	oilfields
old	oldest,older
omelette	omelettes
one	ones
onion	onions
open	openly,opened,opens,opening
opener	openers
opening	openings
opera	operas
operate	operated,operating,operates
operation	operations
operator	operators
opinion	opinions
oppose	opposes,opposing,opposed
opposite	opposites
optimistic	optimistically
oral	orally,orals
orange	oranges
orbit	orbiting,orbited,orbits
order	ordering,ordered,orders
ordinary	ordinarily
organ	organs
organization	organizations
organize	organized,organizes,organizing
origin	origins
other	others
out	outing,outs,outed
outcome	outcomes
outing	outings
outline	outlining,outlined,outlines
output	outputs,outputting
outside	outsides
outspoken	outspokenly
outstanding	outstandingly
outward	outwardly
oval	ovals
over	overs
overcoat	overcoats
overcome	overcomes,overcame,overcoming
overhead	overheads
overlook	overlooks,overlooked,overlooking
owe	owed,owing,owes
own	owned,owning,owns
owner	owners
ox	oxen
pace	pacing,paced,paces
pack	packing,packs,packed
package	packaging,packages,packaged
packet	packets
paddle	paddling,paddled,paddles
page	paged,paging,pages
pain	pained,pains,paining
painful	painfully
paint	painted,painting,paints
painter	painters
painting	paintings
pair	paired,pairs,pairing
palace	palaces
pale	palest,paled,palely,paling,pales,paler
pan	pans,panned,panning
pancake	pancakes
panda	pandas
panic	panicking,panicked,panics
paper	papering,papered,papers
paragraph	paragraphing,paragraphed,paragraphs
parcel	parcelling,parcelled,parcels
pardon	pardoning,pardoned,pardons
parent	parents
parents	parent
park	parked,parks,parking
parking	park,parked,parks
parrot	parrots
part	parted,parts,parting
participate	participating,participates,participated
particular	particulars,particularly
partner	partnering,partnered,partners
party	parties
pass	past,passes,passing,passed
passage	passages
passenger	passengers
passive	passively,passives
passport	passports
past	pasts
patent	patented,patently,patenting,patents
path	paths
patient	patients,patiently
pattern	patterned,patterns,patterning
pause	paused,pausing,pauses
pay	paying,paid,pays
pea	peas
peaceful	peacefully
peach	peaches,peaching,peached
pear	pears
peasant	peasants
pedestrian	pedestrians
pen	penned,pens,penning
pencil	pencils,pencilled,pencilling
penguin	penguins
penny	pennies
pension	pensioned,pensioning,pensions
people	peopled,peoples,peopling
pepper	peppers,peppering,peppered
percentage	percentages
perfect	perfectly,perfecting,perfected,perfects
perform	performing,performed,performs
performance	performances
performer	performers
perfume	perfuming,perfumes,perfumed
period	periods
permanent	permanently
permission	permissions
permit	permitted,permitting,permits
person	persons
personal	personals,personally
personally	personal,personals
persuade	persuading,persuades,persuaded
pest	pests
pet	petted,petting,pets
phenomenon	phenomena
phone	phones,phoning,phoned
photo	photos
photograph	photographs,photographing,photographed
photographer	photographers
phrase	phrases,phrasing,phrased
physical	physically
physician	physicians
physicist	physicists
physics	physic
pianist	pianists
piano	pianos
pick	picking,picks,picked
picnic	picnicking,picnics,picnicked
picture	pictured,picturing,pictures
pie	pies
piece	piecing,pieced,pieces
pig	pigging,pigs,pigged
pile	piled,piles,piling
pill	pills
pillow	pillowed,pillowing,pillows
pilot	piloted,pilots,piloting
pin	pins,pinning,pining,pinned
pine	pines,pined
pineapple	pineapples
pink	pinking,pinkest,pinker,pinked,pinks
pint	pints
pioneer	pioneering,pioneered,pioneers
pipe	pipes,piping,piped
pity	pitied,pitying,pities
pizza	pizzas
place	placed,placing,places
plain	plained,plainly,plainest,plains,plaining,plainer
plan	planning,planed,planned,plans
plane	planing,planes
planet	planets
plant	plants,planting,planted
plastic	plastics
plate	plating,plated,plates
platform	platforms
play	plays,playing,played
player	players
playground	playgrounds
playhouse	playhouses
playmate	playmates
playroom	playrooms
pleasant	pleasantest,pleasantly,pleasanter
please	pleases,pleasing,pleased
pleased	pleases,pleasing,please
pleasure	pleasures
plug	plugs,plugging,plugged
plus	pluses
pocket	pocketed,pocketing,pockets
poem	poems
poet	poets
point	pointed,points,pointing
poison	poisoning,poisoned,poisons
poisonous	poisonously
pole	poles
police	polices,policing,policed
policeman	policemen
policemen	policeman
policewoman	policewomen
policewomen	policewoman
policy	policies
polish	polishing,polishes,polished
polite	politest,politer,politely
politely	politest,politer,polite
political	politically
politician	politicians
pollute	pollutes,polluting,polluted
pond	ponds
pool	pools,pooling,pooled
poor	poorest,poorer,poorly
pop	pops,popped,popping
popcorn	popcorns
popular	popularly
population	populations
port	porting,ported,ports
porter	porters
position	positions,positioned,positioning
positive	positively,positives
possess	possessed,possessing,possesses
possession	possessions
possibility	possibilities
possible	possibly,possibles
possibly	possible,possibles
post	posts,posting,posted
postbox	postboxes
postcard	postcards
postcode	postcodes
poster	posters
postman	postmen
postpone	postponing,postponed,postpones
pot	pots,potted,potting
potato	potatoes
potential	potentially,potentials
pound	pounding,pounded,pounds
pour	pours,pouring,poured
powder	powdered,powdering,powders
power	powers,powering,powered
powerful	powerfully
practical	practically
practice	practices,practise
practise	practised,practises,practising,practice
prairie	prairies
praise	praising,praised,praises
pray	prayed,prays,praying
prayer	prayers
precious	preciously
precise	precisely
predict	predicting,predicted,predicts
prefer	prefers,preferring,preferred
preference	preferences
prejudice	prejudiced,prejudicing,prejudices
premier	premiers
preparation	preparations
prepare	prepares,preparing,prepared
prescription	prescriptions
present	presents,presented,presently,presenting
presentation	presentations
preserve	preserves,preserving,preserved
president	presidents
press	presses,pressing,pressed
pressure	pressures
pretend	pretended,pretending,pretends
pretty	prettiest,pretties,prettier,prettily
prevent	prevented,prevents,preventing
preview	previewing,previewed,previews
previous	previously
price	prices,pricing,priced
pride	prided,priding,prides
primary	primaries,primarily
primitive	primitives,primitively
principle	principles
print	prints,printing,printed
printer	printers
printing	printings
prison	prisons
prisoner	prisoners
private	privates,privately
privilege	privileges
prize	prized,prizing,prizes
probable	probably,probables
probably	probable,probables
problem	problems
procedure	procedures
process	processes,processing,processed
produce	produced,producing,produces
production	productions
profession	professions
professor	professors
program	programmed,programming,programs
programme	programmed,programmes,programming
progress	progressed,progresses,progressing
prohibit	prohibited,prohibits,prohibiting
project	projecting,projected,projects
promise	promises,promised,promising
promote	promoted,promoting,promotes
pronounce	pronounced,pronouncing,pronounces
pronunciation	pronunciations
proper	properly
properly	proper
protect	protecting,protected,protects
protection	protections
proud	prouder,proudly,proudest
prove	proved,proves,proving,proven
provide	provided,providing,provides
province	provinces
psychology	psychologies
pub	pubs
public	publicly,publics
publicly	public,publics
publish	publishes,publishing,published
pull	pulling,pulled,pulls
pulse	pulsing,pulsed,pulses
pump	pumps,pumping,pumped
pumpkin	pumpkins
punctual	punctually
punctuate	punctuates,punctuating,punctuated
punish	punishing,punishes,punished
punishment	punishments
pupil	pupils
purchase	purchasing,purchased,purchases
pure	purer,purest,purely
purple	purples
purpose	purposed,purposing,purposes
purse	pursed,pursing,purses
push	pushed,pushing,pushes
put	putting,puts
puzzle	puzzles,puzzling,puzzled
puzzled	puzzles,puzzle,puzzling
pyramid	pyramids
quake	quaking,quaked,quakes
qualification	qualifications
quality	qualities
quantity	quantities
quarrel	quarrelling,quarrels,quarrelled
quarter	quartering,quartered,quarters
queen	queening,queened,queens
question	questioned,questions,questioning
questionnaire	questionnaires
queue	queues,queueing,queued
quick	quicker,quickest,quickly
quickly	quick,quicker,quickest
quiet	quietly,quiets,quietest,quieted,quieting,quieter
quietly	quiets,quiet,quietest,quieted,quieting,quieter
quilt	quilts,quilting,quilted
quit	quits,quitting,quitted
quiz	quizzes,quizes,quizzed,quizzing
rabbit	rabbiting,rabbited,rabbits
race	raced,races,racing
racial	racially
racket	racketed,racketing,rackets
radiation	radiations
radio	radios
rag	ragged,ragging,rags
rail	railed,rails,railing
railway	railways
rain	rains,raining,rained
rainbow	rainbows
raincoat	raincoats
rained	rains,raining,rain
rainfall	rainfalls
rainy	rainier,rainiest
raise	raised,raising,raises
random	randomly
rank	ranks,rankly,ranked,ranking
rapid	rapidly,rapids
rare	rarest,rarely,rarer
rat	rats,ratted,ratting
rate	rating,rated,rates
ray	raying,rays,rayed
razor	razored,razoring,razors
reach	reached,reaches,reaching
read	reads,reading
reading	readings
ready	readiest,readied,readying,readies,readier,readily
real	reals,really
reality	realities
realize	realizing,realized,realizes
really	real,reals
reason	reasons,reasoning,reasoned
reasonable	reasonably
rebuild	rebuilding,rebuilt,rebuilds
receipt	receipted,receipting,receipts
receive	received,receiving,receives
receiver	receivers
recent	recently
reception	receptions
receptionist	receptionists
recipe	recipes
recite	recited,recites,reciting
recommend	recommended,recommends,recommending
record	recording,recorded,records
recorder	recorders
recover	recovered,recovering,recovers
recreation	recreations
rectangle	rectangles
recycle	recycled,recycling,recycles
red	redder,reds,reddest
reduce	reduces,reducing,reduced
reef	reefs,reefing,reefed
refer	refers,referred,referring
reference	referencing,referenced,references
reflect	reflecting,reflected,reflects
reform	reforming,reformed,reforms
refresh	refreshes,refreshing,refreshed
refrigerator	refrigerators
refusal	refusals
refuse	refuses,refusing,refused
regard	regarded,regards,regarding
regards	regarded,regard,regarding
register	registered,registers,registering
regret	regretting,regretted,regrets
regular	regularly,regulars
regulation	regulations
reject	rejecting,rejected,rejects
relate	relating,related,relates
relation	relations
relationship	relationships
relative	relatives,relatively
relax	relaxed,relaxes,relaxing
relay	relaid,relays,relaying,relayed
relevant	relevantly
reliable	reliably
relief	reliefs
religion	religions
religious	religiously
rely	relies,relying,relied
remain	remains,remaining,remained
remark	remarks,remarking,remarked
remember	remembering,remembered,remembers
remind	reminding,reminded,reminds
remove	removing,removed,removes
rent	renting,rented,rents
repair	repairing,repairs,repaired
repairs	repairing,repaired,repair
repeat	repeated,repeating,repeats
replace	replacing,replaces,replaced
reply	replied,replying,replies
report	reported,reporting,reports
reporter	reporters
represent	represented,represents,representing
representative	representatives
republic	republics
reputation	reputations
request	requested,requests,requesting
require	requiring,required,requires
requirement	requirements
rescue	rescued,rescues,rescuing
research	researches,researching,researched
resemble	resembled,resembling,resembles
reservation	reservations
reserve	reserving,reserves,reserved
resign	resigning,resigned,resigns
resist	resisted,resisting,resists
respect	respected,respecting,respects
respond	responding,responded,responds
responsibility	responsibilities
rest	rests,resting,rested
restaurant	restaurants
restrict	restricted,restricts,restricting
restriction	restrictions
result	resulted,resulting,results
retell	retells,retold,retelling
retire	retires,retiring,retired
return	returns,returned,returning
review	reviews,reviewing,reviewed
reviewer	reviewers
revision	revisions
revolution	revolutions
reward	rewards,rewarded,rewarding
rewarding	rewards,reward,rewarded
rewrite	rewriting,rewrote,rewrites,rewritten
rhyme	rhymed,rhyming,rhymes
rich	richly,richest,richer
rid	rids,ridding
riddle	riddled,riddles,riddling
ride	ridden,riding,rides,rode
ridge	ridged,ridging,ridges
ridiculous	ridiculously
right	righting,rightly,righted,rights
rigid	rigidly
rim	rimmed,rimming,rims
ring	rang,ringing,rings,rung,ringed
ripe	ripely,ripest,riper
ripen	ripening,ripened,ripens
rise	rose,rises,rising,risen
risk	risking,risked,risks
river	rivers
road	roads
roast	roasts,roasting,roasted
rob	robbed,robbing,robs
robber	robbers
robbery	robberies
robot	robots
rock	rocking,rocked,rocks
rocket	rocketing,rocketed,rockets
role	roles
roll	rolling,rolled,rolls
roller	rollers
roof	roofs,roofing,roofed
room	rooming,roomed,rooms
rooster	roosters
root	rooted,roots,rooting
rope	ropes,roping,roped
rose	roses
rot	rotted,rotting,rots
rough	roughs,roughed,roughest,roughly,roughing,rougher
round	roundest,rounded,rounding,roundly,rounder,rounds
roundabout	roundabouts
routine	routines,routinely
row	rowed,rows,rowing
royal	royally,royals
rub	rubbing,rubbed,rubs
rubber	rubbered,rubbering,rubbers
rubbish	rubbishes,rubbishing,rubbished
rude	rudely,rudest,ruder
ruin	ruins,ruining,ruined
rule	rules,ruling,ruled
ruler	rulers
run	ran,runs,running
runner	runners
running	ran,runs,run
rush	rushes,rushing,rushed
sacred	sacredly
